Disease,Disease ID,Disease Acronym
Congenital disorder of glycosylation 2R,DI-05804,CDG2R
Congenital disorder of glycosylation 2T,DI-05843,CDG2T
Congenital disorder of glycosylation with defective fucosylation 1,DI-05266,CDGF1
Congenital disorder of glycosylation with defective fucosylation 2,DI-05480,CDGF2
Congenital erythropoietic porphyria,DI-01401,CEP
Congenital generalized lipodystrophy 1,DI-00354,CGL1
Congenital generalized lipodystrophy 2,DI-00355,CGL2
Congenital generalized lipodystrophy 3,DI-00356,CGL3
Congenital generalized lipodystrophy 4,DI-02767,CGL4
Congenital glucose/galactose malabsorption,DI-01402,GGM
Congenital heart defects and ectodermal dysplasia,DI-04953,CHDED
Congenital heart defects and skeletal malformations syndrome,DI-05064,CHDSKM
"Congenital heart defects, dysmorphic facial features, and intellectual developmental disorder",DI-04952,CHDFIDD
"Congenital heart defects, hamartomas of tongue, and polysyndactyly",DI-04320,CHDTHP
"Congenital heart defects, multiple types, 1, X-linked",DI-03598,CHTD1
"Congenital heart defects, multiple types, 2",DI-02853,CHTD2
"Congenital heart defects, multiple types, 4",DI-04085,CHTD4
"Congenital heart defects, multiple types, 5",DI-05221,CHTD5
"Congenital heart defects, multiple types, 6",DI-03082,CHTD6
"Congenital heart defects, multiple types, 7",DI-05764,CHTD7
Congenital hemidysplasia with ichthyosiform erythroderma and limb defects,DI-00357,CHILD
"Congenital hypotonia, epilepsy, developmental delay, and digital anomalies",DI-05610,CHEDDA
Congenital insensitivity to pain with anhidrosis,DI-01405,CIPA
Congenital lactase deficiency,DI-01406,COLACD
"Congenital lipomatous overgrowth, vascular malformations, and epidermal nevi",DI-03487,CLOVE
Congenital myopathy with excess of muscle spindles,DI-01411,CMEMS
Congenital short bowel syndrome,DI-03743,CSBS
"Congenital short bowel syndrome, X-linked",DI-03734,CSBSX
Congenital sucrase-isomaltase deficiency,DI-01419,CSID
Congenital systemic glutamine deficiency,DI-01420,CSGD
Conotruncal heart malformations,DI-01424,CTHM
"Contractural arachnodactyly, congenital",DI-01397,CCA
"Contractures, pterygia, and spondylocarpotarsal fusion syndrome 1A",DI-05625,CPSFS1A
"Contractures, pterygia, and spondylocarpotarsal fusion syndrome 1B",DI-05594,CPSFS1B
"Convulsions, familial infantile, with paroxysmal choreoathetosis",DI-03372,ICCA
"Cornea plana 2, autosomal recessive",DI-02364,CNA2
Corneal dystrophy and perceptive deafness,DI-01426,CDPD
"Corneal dystrophy, Avellino type",DI-01264,CDA
"Corneal dystrophy, congenital stromal",DI-01418,CSCD
"Corneal dystrophy, epithelial basement membrane",DI-01535,EBMD
"Corneal dystrophy, fleck",DI-01431,CFD
"Corneal dystrophy, Fuchs endothelial, 1",DI-01636,FECD1
"Corneal dystrophy, Fuchs endothelial, 3",DI-04548,FECD3
"Corneal dystrophy, Fuchs endothelial, 4",DI-02765,FECD4
"Corneal dystrophy, Fuchs endothelial, 6",DI-02766,FECD6
"Corneal dystrophy, Fuchs endothelial, 8",DI-03947,FECD8
"Corneal dystrophy, gelatinous drop-like",DI-01651,GDLD
"Corneal dystrophy, Groenouw type 1",DI-01427,CDGG1
"Corneal dystrophy, lattice type 1",DI-01428,CDL1
"Corneal dystrophy, lattice type 3A",DI-01882,CDL3A
"Corneal dystrophy, Meesmann 1",DI-01959,MECD1
"Corneal dystrophy, Meesmann 2",DI-05754,MECD2
"Corneal dystrophy, posterior polymorphous, 1",DI-02640,PPCD1
"Corneal dystrophy, posterior polymorphous, 2",DI-02185,PPCD2
"Corneal dystrophy, posterior polymorphous, 3",DI-02186,PPCD3
"Corneal dystrophy, posterior polymorphous, 4",DI-05267,PPCD4
"Corneal dystrophy, Reis-Bucklers type",DI-02252,CDRB
"Corneal dystrophy, Schnyder type",DI-01457,SCCD
"Corneal dystrophy, Thiel-Behnke type",DI-01429,CDTB
Corneal endothelial dystrophy,DI-01430,CHED
Cornelia de Lange syndrome 1,DI-00379,CDLS1
Cornelia de Lange syndrome 2,DI-00380,CDLS2
Cornelia de Lange syndrome 3 with or without midline brain defects,DI-01432,CDLS3
Cornelia de Lange syndrome 4 with or without midline brain defects,DI-03491,CDLS4
Cornelia de Lange syndrome 5,DI-03541,CDLS5
Coronary artery disease,DI-04956,CAD
"Coronary artery disease, autosomal dominant, 1",DI-01202,ADCAD1
"Coronary artery disease, autosomal dominant, 2",DI-01203,ADCAD2
Coronary heart disease 5,DI-02840,CHDS5
Coronary heart disease 6,DI-03346,CHDS6
Coronary heart disease 7,DI-02841,CHDS7
"Cortical dysplasia, complex, with other brain malformations 1",DI-03150,CDCBM1
"Cortical dysplasia, complex, with other brain malformations 10",DI-05688,CDCBM10
"Cortical dysplasia, complex, with other brain malformations 2",DI-03883,CDCBM2
"Cortical dysplasia, complex, with other brain malformations 3",DI-03884,CDCBM3
"Cortical dysplasia, complex, with other brain malformations 4",DI-03885,CDCBM4
"Cortical dysplasia, complex, with other brain malformations 5",DI-04097,CDCBM5
"Cortical dysplasia, complex, with other brain malformations 6",DI-04083,CDCBM6
"Cortical dysplasia, complex, with other brain malformations 7",DI-02622,CDCBM7
"Cortical dysplasia, complex, with other brain malformations 8",DI-02826,CDCBM8
"Cortical dysplasia, complex, with other brain malformations 9",DI-05375,CDCBM9
Cortical dysplasia-focal epilepsy syndrome,DI-00381,CDFES
Cortical malformations occipital,DI-03207,OCCM
Corticosteroid-binding globulin deficiency,DI-01433,CBG deficiency
Corticosterone methyloxidase 1 deficiency,DI-01434,CMO-1 deficiency
Corticosterone methyloxidase 2 deficiency,DI-01435,CMO-2 deficiency
Cortisone reductase deficiency 1,DI-01436,CORTRD1
Cortisone reductase deficiency 2,DI-05184,CORTRD2
Costello syndrome,DI-01437,CSTLO
Coumarin resistance,DI-01438,CMRES
Cousin syndrome,DI-01439,COUSS
Cowden syndrome 1,DI-01440,CWS1
Cowden syndrome 4,DI-03695,CWS4
Cowden syndrome 5,DI-03696,CWS5
Cowden syndrome 6,DI-03697,CWS6
Cowden syndrome 7,DI-04679,CWS7
Craniodiaphyseal dysplasia autosomal dominant,DI-03135,CDD
Cranioectodermal dysplasia 1,DI-02715,CED1
Cranioectodermal dysplasia 2,DI-02916,CED2
Cranioectodermal dysplasia 3,DI-03183,CED3
Cranioectodermal dysplasia 4,DI-03327,CED4
Craniofacial anomalies and anterior segment dysgenesis syndrome,DI-03261,CAASDS
"Craniofacial dysmorphism, skeletal anomalies and mental retardation syndrome",DI-03178,CFSMR
Craniofacial-deafness-hand syndrome,DI-01442,CDHS
Craniofrontonasal syndrome,DI-01443,CFNS
Craniolenticulosutural dysplasia,DI-01444,CLSD
"Craniometaphyseal dysplasia, autosomal dominant",DI-01445,CMDD
"Craniometaphyseal dysplasia, autosomal recessive",DI-03897,CMDR
Cranioosteoarthropathy,DI-01446,COA
Craniosynostosis 1,DI-01447,CRS1
Craniosynostosis 2,DI-00382,CRS2
Craniosynostosis 3,DI-03808,CRS3
Craniosynostosis 4,DI-03809,CRS4
Craniosynostosis 5,DI-03953,CRS5
Craniosynostosis 6,DI-04561,CRS6
Craniosynostosis 7,DI-04994,CRS7
Craniosynostosis and dental anomalies,DI-03259,CRSDA
Creutzfeldt-Jakob disease,DI-01448,CJD
Crigler-Najjar syndrome 1,DI-01449,CN1
Crigler-Najjar syndrome 2,DI-01450,CN2
Crisponi/Cold-induced sweating syndrome 1,DI-01356,CISS1
Crisponi/Cold-induced sweating syndrome 2,DI-01357,CISS2
Crouzon syndrome,DI-00383,CS
Crouzon syndrome with acanthosis nigricans,DI-01453,CAN
Cryohydrocytosis,DI-04609,CHC
"Cryptophthalmos, unilateral or bilateral, isolated",DI-05544,CRYPTOP
Cryptorchidism,DI-01455,CRYPTO
Culler-Jones syndrome,DI-04127,CJS
Currarino syndrome,DI-01458,CURRAS
Curry-Jones syndrome,DI-04790,CRJS
"Cutaneous telangiectasia and cancer syndrome, familial",DI-03427,FCTCS
"Cutis laxa, autosomal dominant, 1",DI-01204,ADCL1
"Cutis laxa, autosomal dominant, 2",DI-03317,ADCL2
"Cutis laxa, autosomal dominant, 3",DI-04558,ADCL3
"Cutis laxa, autosomal recessive, 1A",DI-01236,ARCL1A
"Cutis laxa, autosomal recessive, 1B",DI-03318,ARCL1B
"Cutis laxa, autosomal recessive, 2A",DI-01461,ARCL2A
"Cutis laxa, autosomal recessive, 2B",DI-01462,ARCL2B
"Cutis laxa, autosomal recessive, 2C",DI-04974,ARCL2C
"Cutis laxa, autosomal recessive, 2D",DI-04975,ARCL2D
"Cutis laxa, autosomal recessive, 3A",DI-03310,ARCL3A
"Cutis laxa, autosomal recessive, 3B",DI-03319,ARCL3B
Cyanosis transient neonatal,DI-03171,TNCY
Cyclic haematopoiesis,DI-01463,CH
"Cylindromatosis, familial",DI-01564,FCYL
Cystathionine beta-synthase deficiency,DI-01464,CBSD
Cystathioninuria,DI-01465,CSTNU
Cystic fibrosis,DI-01466,CF
"Cystinosis, adult, non-nephropathic type",DI-02893,CTNSANN
"Cystinosis, late-onset juvenile or adolescent nephropathic type",DI-02894,CTNSJAN
"Cystinosis, nephropathic type",DI-01467,CTNS
Cystinuria,DI-01468,CSNU
Czech dysplasia,DI-03158,CZECHD
D-2-hydroxyglutaric aciduria 1,DI-00384,D2HGA1
D-2-hydroxyglutaric aciduria 2,DI-02980,D2HGA2
D-bifunctional protein deficiency,DI-01471,DBPD
D-glyceric aciduria,DI-03131,D-GA
D-lactic aciduria with gout,DI-05545,DLACD
Danon disease,DI-00385,DAND
Darier disease,DI-01473,DD
De Sanctis-Cacchione syndrome,DI-00389,DSC
Deafness and myopia,DI-03969,DFNMYP
"Deafness with labyrinthine aplasia, microtia and microdontia",DI-01475,LAMM
"Deafness, aminoglycoside-induced",DI-05233,DFNI
"Deafness, autosomal dominant 1, with or without thrombocytopenia",DI-00831,DFNA1
"Deafness, autosomal dominant 22, with hypertrophic cardiomyopathy",DI-01013,DFNHCM
"Deafness, autosomal dominant, 10",DI-00840,DFNA10
"Deafness, autosomal dominant, 11",DI-00841,DFNA11
"Deafness, autosomal dominant, 12",DI-00842,DFNA12
"Deafness, autosomal dominant, 13",DI-00843,DFNA13
"Deafness, autosomal dominant, 15",DI-00844,DFNA15
"Deafness, autosomal dominant, 17",DI-00845,DFNA17
"Deafness, autosomal dominant, 20",DI-00846,DFNA20
"Deafness, autosomal dominant, 22",DI-00847,DFNA22
"Deafness, autosomal dominant, 23",DI-01205,DFNA23
"Deafness, autosomal dominant, 25",DI-00848,DFNA25
"Deafness, autosomal dominant, 27",DI-05689,DFNA27
"Deafness, autosomal dominant, 28",DI-00849,DFNA28
"Deafness, autosomal dominant, 2A",DI-00832,DFNA2A
"Deafness, autosomal dominant, 2B",DI-00833,DFNA2B
"Deafness, autosomal dominant, 34, with or without inflammation",DI-05146,DFNA34
"Deafness, autosomal dominant, 36",DI-00850,DFNA36
"Deafness, autosomal dominant, 37",DI-05635,DFNA37
"Deafness, autosomal dominant, 39, with dentinogenesis imperfecta 1",DI-01206,DFNA39/DGI1
"Deafness, autosomal dominant, 3A",DI-00834,DFNA3A
"Deafness, autosomal dominant, 3B",DI-00835,DFNA3B
"Deafness, autosomal dominant, 40",DI-04417,DFNA40
"Deafness, autosomal dominant, 41",DI-03966,DFNA41
"Deafness, autosomal dominant, 44",DI-01220,DFNA44
"Deafness, autosomal dominant, 48",DI-00851,DFNA48
"Deafness, autosomal dominant, 4A",DI-00836,DFNA4A
"Deafness, autosomal dominant, 4B",DI-03419,DFNA4B
"Deafness, autosomal dominant, 5",DI-00837,DFNA5
"Deafness, autosomal dominant, 56",DI-04030,DFNA56
"Deafness, autosomal dominant, 6",DI-00838,DFNA6
"Deafness, autosomal dominant, 64",DI-03231,DFNA64
"Deafness, autosomal dominant, 65",DI-04244,DFNA65
"Deafness, autosomal dominant, 66",DI-04729,DFNA66
"Deafness, autosomal dominant, 67",DI-04416,DFNA67
"Deafness, autosomal dominant, 68",DI-04600,DFNA68
"Deafness, autosomal dominant, 7",DI-05774,DFNA7
"Deafness, autosomal dominant, 70",DI-04728,DFNA70
"Deafness, autosomal dominant, 71",DI-05058,DFNA71
"Deafness, autosomal dominant, 72",DI-05059,DFNA72
"Deafness, autosomal dominant, 73",DI-05089,DFNA73
"Deafness, autosomal dominant, 74",DI-05344,DFNA74
"Deafness, autosomal dominant, 75",DI-05761,DFNA75
"Deafness, autosomal dominant, 76",DI-05762,DFNA76
"Deafness, autosomal dominant, 77",DI-05859,DFNA77
"Deafness, autosomal dominant, 9",DI-00839,DFNA9
"Deafness, autosomal dominant, without vestibular involvement",DI-02065,DFNAWVI
"Deafness, autosomal recessive, 100",DI-05551,DFNB100
"Deafness, autosomal recessive, 101",DI-04121,DFNB101
"Deafness, autosomal recessive, 102",DI-04190,DFNB102
"Deafness, autosomal recessive, 103",DI-04268,DFNB103
"Deafness, autosomal recessive, 104",DI-04500,DFNB104
"Deafness, autosomal recessive, 106",DI-05056,DFNB106
"Deafness, autosomal recessive, 107",DI-05057,DFNB107
"Deafness, autosomal recessive, 108",DI-05055,DFNB108
"Deafness, autosomal recessive, 109",DI-05261,DFNB109
"Deafness, autosomal recessive, 110",DI-05316,DFNB110
"Deafness, autosomal recessive, 111",DI-05349,DFNB111
"Deafness, autosomal recessive, 112",DI-05438,DFNB112
"Deafness, autosomal recessive, 113",DI-05550,DFNB113
"Deafness, autosomal recessive, 114",DI-05583,DFNB114
"Deafness, autosomal recessive, 115",DI-05584,DFNB115
"Deafness, autosomal recessive, 12",DI-00862,DFNB12
"Deafness, autosomal recessive, 15",DI-03190,DFNB15
"Deafness, autosomal recessive, 16",DI-00863,DFNB16
"Deafness, autosomal recessive, 18A",DI-00864,DFNB18A
"Deafness, autosomal recessive, 18B",DI-03621,DFNB18B
"Deafness, autosomal recessive, 1A",DI-00852,DFNB1A
"Deafness, autosomal recessive, 1B",DI-00853,DFNB1B
"Deafness, autosomal recessive, 2",DI-00854,DFNB2
"Deafness, autosomal recessive, 21",DI-00865,DFNB21
"Deafness, autosomal recessive, 22",DI-00866,DFNB22
"Deafness, autosomal recessive, 23",DI-00867,DFNB23
"Deafness, autosomal recessive, 24",DI-02066,DFNB24
"Deafness, autosomal recessive, 25",DI-02537,DFNB25
"Deafness, autosomal recessive, 26",DI-05262,DFNB26
"Deafness, autosomal recessive, 28",DI-00868,DFNB28
"Deafness, autosomal recessive, 29",DI-00869,DFNB29
"Deafness, autosomal recessive, 3",DI-00855,DFNB3
"Deafness, autosomal recessive, 30",DI-00870,DFNB30
"Deafness, autosomal recessive, 31",DI-00871,DFNB31
"Deafness, autosomal recessive, 32, with or without immotile sperm",DI-05341,DFNB32
"Deafness, autosomal recessive, 35",DI-00872,DFNB35
"Deafness, autosomal recessive, 36, with or without vestibular involvement",DI-00873,DFNB36
"Deafness, autosomal recessive, 37",DI-00874,DFNB37
"Deafness, autosomal recessive, 39",DI-02477,DFNB39
"Deafness, autosomal recessive, 4",DI-00856,DFNB4
"Deafness, autosomal recessive, 42",DI-03029,DFNB42
"Deafness, autosomal recessive, 44",DI-04170,DFNB44
"Deafness, autosomal recessive, 48",DI-03551,DFNB48
"Deafness, autosomal recessive, 49",DI-00875,DFNB49
"Deafness, autosomal recessive, 53",DI-00876,DFNB53
"Deafness, autosomal recessive, 57",DI-05260,DFNB57
"Deafness, autosomal recessive, 59",DI-00877,DFNB59
"Deafness, autosomal recessive, 6",DI-00857,DFNB6
"Deafness, autosomal recessive, 61",DI-02548,DFNB61
"Deafness, autosomal recessive, 63",DI-00878,DFNB63
"Deafness, autosomal recessive, 66",DI-04549,DFNB66
"Deafness, autosomal recessive, 67",DI-02067,DFNB67
"Deafness, autosomal recessive, 68",DI-04685,DFNB68
"Deafness, autosomal recessive, 7",DI-00858,DFNB7
"Deafness, autosomal recessive, 70",DI-03614,DFNB70
"Deafness, autosomal recessive, 74",DI-02958,DFNB74
"Deafness, autosomal recessive, 76",DI-03957,DFNB76
"Deafness, autosomal recessive, 77",DI-02528,DFNB77
"Deafness, autosomal recessive, 79",DI-02596,DFNB79
"Deafness, autosomal recessive, 8",DI-00859,DFNB8
"Deafness, autosomal recessive, 84A",DI-02691,DFNB84A
"Deafness, autosomal recessive, 84B",DI-03565,DFNB84B
"Deafness, autosomal recessive, 86",DI-04026,DFNB86
"Deafness, autosomal recessive, 88",DI-03888,DFNB88
"Deafness, autosomal recessive, 89",DI-03865,DFNB89
"Deafness, autosomal recessive, 9",DI-00860,DFNB9
"Deafness, autosomal recessive, 91",DI-02706,DFNB91
"Deafness, autosomal recessive, 93",DI-03553,DFNB93
"Deafness, autosomal recessive, 94",DI-05552,DFNB94
"Deafness, autosomal recessive, 97",DI-04599,DFNB97
"Deafness, autosomal recessive, 98",DI-03535,DFNB98
"Deafness, autosomal recessive, 99",DI-05585,DFNB99
"Deafness, congenital heart defects, and posterior embryotoxon",DI-05252,DCHE
"Deafness, congenital, unilateral or asymmetric",DI-04598,DCUA
"Deafness, congenital, with onychodystrophy, autosomal dominant",DI-04735,DDOD
"Deafness, dystonia, and cerebral hypomyelination",DI-03930,DDCH
"Deafness, onychodystrophy, osteodystrophy, mental retardation, and seizures syndrome",DI-03992,DOORS
"Deafness, sensorineural, mitochondrial",DI-02887,DFNM
"Deafness, X-linked, 1",DI-02690,DFNX1
"Deafness, X-linked, 2",DI-02441,DFNX2
"Deafness, X-linked, 4",DI-03162,DFNX4
"Deafness, X-linked, 5, with peripheral neuropathy",DI-04610,DFNX5
"Deafness, X-linked, 6",DI-04012,DFNX6
"Deafness, X-linked, 7",DI-05369,DFNX7
"Deafness, Y-linked 2",DI-05525,DFNY2
Deafness-infertility syndrome,DI-01474,DIS
DEEAH syndrome,DI-05908,DEEAH
Dehydrated hereditary stomatocytosis 1 with or without pseudohyperkalemia and/or perinatal edema,DI-03801,DHS1
Dehydrated hereditary stomatocytosis 2,DI-04597,DHS2
Dejerine-Sottas syndrome,DI-00387,DSS
Delayed sleep phase syndrome,DI-03211,DSPS
"Dementia, Lewy body",DI-01901,DLB
Dent disease 2,DI-00386,DD2
Dental anomalies and short stature,DI-02717,DASS
Dentatorubral-pallidoluysian atrophy,DI-01476,DRPLA
Dentin dysplasia 1,DI-03347,DTDP1
"Dentin dysplasia 1, with extreme microdontia and misshapen teeth",DI-03348,DTDP1-MMT
Dentin dysplasia 2,DI-01477,DTDP2
"Dentinogenesis imperfecta, Shields type 2",DI-01479,DGI2
"Dentinogenesis imperfecta, Shields type 3",DI-01478,DGI3
Denys-Drash syndrome,DI-01480,DDS
Dermatitis atopic 2,DI-01194,ATOD2
Dermatopathia pigmentosa reticularis,DI-00388,DPR
DeSanto-Shinawi syndrome,DI-04620,DESSH
Desbuquois dysplasia 1,DI-02521,DBQD1
Desbuquois dysplasia 2,DI-04114,DBQD2
"Desmoid disease, hereditary",DI-01711,DESMD
Desmosterolosis,DI-01482,DESMOS
Developmental delay and seizures with or without movement abnormalities,DI-05179,DEDSM
Developmental delay with or without dysmorphic facies and autism,DI-05586,DEDDFA
"Developmental delay with short stature, dysmorphic facial features, and sparse hair",DI-04703,DEDSSH
Developmental delay with variable intellectual impairment and behavioral abnormalities,DI-05566,DDVIBA
"Diabetes insipidus, nephrogenic, autosomal",DI-00390,ANDI
"Diabetes insipidus, nephrogenic, X-linked",DI-00391,XNDI
"Diabetes insipidus, neurohypophyseal",DI-01217,NDI
"Diabetes mellitus, insulin-dependent",DI-01826,IDDM
"Diabetes mellitus, insulin-dependent, 10",DI-02776,IDDM10
"Diabetes mellitus, insulin-dependent, 12",DI-02777,IDDM12
"Diabetes mellitus, insulin-dependent, 19",DI-02778,IDDM19
"Diabetes mellitus, insulin-dependent, 2",DI-02788,IDDM2
"Diabetes mellitus, insulin-dependent, 20",DI-02779,IDDM20
"Diabetes mellitus, insulin-dependent, 22",DI-02780,IDDM22
"Diabetes mellitus, insulin-dependent, 5",DI-05295,IDDM5
"Diabetes mellitus, ketosis-prone",DI-02784,KPD
"Diabetes mellitus, neonatal, with congenital hypothyroidism",DI-02031,NDH
"Diabetes mellitus, non-insulin-dependent",DI-02060,NIDDM
"Diabetes mellitus, non-insulin-dependent, 1",DI-02781,NIDDM1
"Diabetes mellitus, non-insulin-dependent, 5",DI-04265,NIDDM5
"Diabetes mellitus, permanent neonatal 1",DI-02152,PNDM1
"Diabetes mellitus, permanent neonatal 2",DI-05823,PNDM2
"Diabetes mellitus, permanent neonatal 3",DI-05824,PNDM3
"Diabetes mellitus, permanent neonatal 4",DI-05825,PNDM4
"Diabetes mellitus, transient neonatal, 1",DI-02380,TNDM1
Diamond-Blackfan anemia 1,DI-00392,DBA1
Diamond-Blackfan anemia 10,DI-02685,DBA10
Diamond-Blackfan anemia 11,DI-03608,DBA11
Diamond-Blackfan anemia 12,DI-03972,DBA12
Diamond-Blackfan anemia 13,DI-04161,DBA13
"Diamond-Blackfan anemia 14, with mandibulofacial dysostosis",DI-04366,DBA14
"Diamond-Blackfan anemia 15, with mandibulofacial dysostosis",DI-04370,DBA15
Diamond-Blackfan anemia 16,DI-04958,DBA16
Diamond-Blackfan anemia 17,DI-04959,DBA17
Diamond-Blackfan anemia 18,DI-05472,DBA18
Diamond-Blackfan anemia 19,DI-05473,DBA19
Diamond-Blackfan anemia 20,DI-05474,DBA20
Diamond-Blackfan anemia 3,DI-00393,DBA3
Diamond-Blackfan anemia 4,DI-00394,DBA4
Diamond-Blackfan anemia 5,DI-00395,DBA5
Diamond-Blackfan anemia 6,DI-00396,DBA6
Diamond-Blackfan anemia 7,DI-00397,DBA7
Diamond-Blackfan anemia 8,DI-00398,DBA8
Diamond-Blackfan anemia 9,DI-02684,DBA9
Diamond-Blackfan anemia-like,DI-05222,DBAL
Diaphanospondylodysostosis,DI-03157,DSD
Diaphragmatic hernia 3,DI-01485,DIH3
Diaphyseal medullary stenosis with malignant fibrous histiocytoma,DI-03464,DMSMFH
"Diarrhea 1, secretory chloride, congenital",DI-01395,DIAR1
"Diarrhea 10, protein-losing enteropathy type",DI-05384,DIAR10
"Diarrhea 11, malabsorptive, congenital",DI-05692,DIAR11
"Diarrhea 2, with microvillus atrophy",DI-01979,DIAR2
"Diarrhea 3, secretory sodium, congenital, with or without other congenital anomalies",DI-01417,DIAR3
"Diarrhea 4, malabsorptive, congenital",DI-01408,DIAR4
"Diarrhea 5, with tufting enteropathy, congenital",DI-02845,DIAR5
Diarrhea 6,DI-03451,DIAR6
"Diarrhea 7, protein-losing enteropathy type",DI-04130,DIAR7
"Diarrhea 8, secretory sodium, congenital",DI-04683,DIAR8
Diarrhea 9,DI-05373,DIAR9
Diastrophic dysplasia,DI-00399,DTD
Dicarboxylic aminoaciduria,DI-04231,DCBXA
Diencephalic-mesencephalic junction dysplasia syndrome 1,DI-05123,DMJDS1
Diencephalic-mesencephalic junction dysplasia syndrome 2,DI-05683,DMJDS2
Diets-Jongmans syndrome,DI-05814,DIJOS
DiGeorge syndrome,DI-01487,DGS
"Digital arthropathy-brachydactyly, familial",DI-03486,FDAB
Dihydrolipoamide dehydrogenase deficiency,DI-03698,DLDD
Dihydropyrimidinase deficiency,DI-01483,DPYSD
Dihydropyrimidine dehydrogenase deficiency,DI-01488,DPYDD
Disordered steroidogenesis due to cytochrome P450 oxidoreductase deficiency,DI-00601,DISPORD
Distal myopathy with anterior tibial onset,DI-01494,DMAT
"Distal spinal muscular atrophy, autosomal recessive, 2",DI-04545,DSMA2
"Distal spinal muscular atrophy, autosomal recessive, 4",DI-00405,DSMA4
"Distal spinal muscular atrophy, autosomal recessive, 5",DI-03602,DSMA5
"Distal spinal muscular atrophy, X-linked, 3",DI-02799,DSMAX3
DMGDH deficiency,DI-01497,DMGDHD
Dominant nonimmune chronic idiopathic neutropenia of adults,DI-01499,NI-CINA
Dominant optic atrophy plus syndrome,DI-02096,DOA+
Dominantly inherited venous malformations,DI-01500,VMCM
Donnai-Barrow syndrome,DI-01501,DBS
Dowling-Degos disease 1,DI-01503,DDD1
Dowling-Degos disease 2,DI-03821,DDD2
Dowling-Degos disease 4,DI-04044,DDD4
Doyne honeycomb retinal dystrophy,DI-01504,DHRD
Du Pan syndrome,DI-01505,DUPANS
Duane retraction syndrome 2,DI-01506,DURS2
Duane retraction syndrome 3 with or without deafness,DI-04764,DURS3
Duane-radial ray syndrome,DI-01507,DRRS
Dubin-Johnson syndrome,DI-01508,DJS
Duchenne muscular dystrophy,DI-01509,DMD
Dursun syndrome,DI-02930,DURSS
Dyggve-Melchior-Clausen syndrome,DI-00406,DMC
Dyschromatosis symmetrica hereditaria,DI-01510,DSH
Dyschromatosis universalis hereditaria 1,DI-05519,DUH1
Dyschromatosis universalis hereditaria 3,DI-03880,DUH3
"Dysfibrinogenemia, congenital",DI-04218,DYSFIBRIN
"Dyskeratosis congenita, autosomal dominant, 2",DI-00407,DKCA2
"Dyskeratosis congenita, autosomal dominant, 3",DI-03165,DKCA3
"Dyskeratosis congenita, autosomal dominant, 4",DI-03889,DKCA4
"Dyskeratosis congenita, autosomal dominant, 5",DI-00998,DKCA5
"Dyskeratosis congenita, autosomal dominant, 6",DI-04521,DKCA6
"Dyskeratosis congenita, autosomal recessive, 1",DI-00408,DKCB1
"Dyskeratosis congenita, autosomal recessive, 2",DI-03167,DKCB2
"Dyskeratosis congenita, autosomal recessive, 3",DI-03168,DKCB3
"Dyskeratosis congenita, autosomal recessive, 4",DI-03166,DKCB4
"Dyskeratosis congenita, autosomal recessive, 5",DI-03755,DKCB5
"Dyskeratosis congenita, autosomal recessive, 6",DI-04424,DKCB6
"Dyskeratosis congenita, autosomal recessive, 7",DI-04522,DKCB7
"Dyskeratosis congenita, X-linked",DI-00409,DKCX
"Dyskinesia, familial, with facial myokymia",DI-03514,FDFM
"Dyskinesia, limb and orofacial, infantile-onset",DI-04707,IOLOD
Dyslexia 1,DI-02608,DYX1
Dyslexia 2,DI-01511,DYX2
Dyssegmental dysplasia Silverman-Handmaker type,DI-01512,DDSH
"Dystonia 1, torsion, autosomal dominant",DI-00413,DYT1
"Dystonia 11, myoclonic",DI-00418,DYT11
Dystonia 12,DI-00419,DYT12
Dystonia 16,DI-00420,DYT16
"Dystonia 2, torsion, autosomal recessive",DI-04436,DYT2
Dystonia 23,DI-04376,DYT23
Dystonia 24,DI-03682,DYT24
Dystonia 25,DI-03651,DYT25
"Dystonia 26, myoclonic",DI-04408,DYT26
Dystonia 27,DI-04449,DYT27
"Dystonia 28, childhood-onset",DI-04935,DYT28
"Dystonia 3, torsion, X-linked",DI-00414,DYT3
"Dystonia 4, torsion, autosomal dominant",DI-03777,DYT4
"Dystonia 6, torsion",DI-00416,DYT6
Dystonia 8,DI-00417,DYT8
Dystonia 9,DI-03550,DYT9
"Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities",DI-04936,DYTOABG
"Dystonia, dopa-responsive",DI-00415,DRD
"Dystonia, DOPA-responsive, due to sepiapterin reductase deficiency",DI-00411,DRDSPRD
"Dystonia, juvenile-onset",DI-00412,DJO
Dystrophia myotonica 1,DI-02023,DM1
Dystrophia myotonica 2,DI-02024,DM2
Early-onset hypertension with severe exacerbation in pregnancy,DI-01513,EOHSEP
"Ectodermal dysplasia 1, hypohidrotic, X-linked",DI-00430,XHED
"Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant",DI-00432,ECTD10A
"Ectodermal dysplasia 10B, hypohidrotic/hair/tooth type, autosomal recessive",DI-00422,ECTD10B
"Ectodermal dysplasia 11A, hypohidrotic/hair/nail type, autosomal dominant",DI-03617,ECTD11A
"Ectodermal dysplasia 11B, hypohidrotic/hair/tooth type, autosomal recessive",DI-03618,ECTD11B
"Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type",DI-04948,ECTD12
